,rowkey,time,id,is_risk,time_1,time_2
50,777,2015-01-01 08:04:46.0,72054,0,2015-01-01 08:04:46,1420099486
51,779,2015-01-01 08:05:43.0,88824,0,2015-01-01 08:05:43,1420099543
52,781,2015-01-01 08:05:59.0,65107,0,2015-01-01 08:05:59,1420099559
53,782,2015-01-01 08:06:05.0,141430,0,2015-01-01 08:06:05,1420099565
54,797,2015-01-01 08:11:40.0,50845,0,2015-01-01 08:11:40,1420099900
55,806,2015-01-01 08:15:22.0,25407,0,2015-01-01 08:15:22,1420100122
57,812,2015-01-01 08:16:13.0,25407,0,2015-01-01 08:16:13,1420100173
58,819,2015-01-01 08:19:15.0,34524,0,2015-01-01 08:19:15,1420100355
62,927,2015-01-01 08:54:29.0,69453,0,2015-01-01 08:54:29,1420102469
63,958,2015-01-01 08:59:58.0,13978,0,2015-01-01 08:59:58,1420102798
64,966,2015-01-01 09:01:51.0,156796,0,2015-01-01 09:01:51,1420102911
66,992,2015-01-01 09:07:47.0,8914,0,2015-01-01 09:07:47,1420103267
68,1022,2015-01-01 09:13:22.0,137243,0,2015-01-01 09:13:22,1420103602
69,1061,2015-01-01 09:20:45.0,13784,0,2015-01-01 09:20:45,1420104045
70,1062,2015-01-01 09:20:51.0,169244,0,2015-01-01 09:20:51,1420104051
71,1066,2015-01-01 09:21:13.0,153224,0,2015-01-01 09:21:13,1420104073
74,1082,2015-01-01 09:24:24.0,32983,0,2015-01-01 09:24:24,1420104264
76,1148,2015-01-01 09:40:47.0,136711,0,2015-01-01 09:40:47,1420105247
77,1152,2015-01-01 09:41:57.0,65317,0,2015-01-01 09:41:57,1420105317
78,1157,2015-01-01 09:42:30.0,43067,0,2015-01-01 09:42:30,1420105350
81,1251,2015-01-01 10:02:01.0,101777,0,2015-01-01 10:02:01,1420106521
83,1327,2015-01-01 10:10:45.0,155439,0,2015-01-01 10:10:45,1420107045
84,1334,2015-01-01 10:11:17.0,94990,0,2015-01-01 10:11:17,1420107077
85,1338,2015-01-01 10:11:51.0,133609,0,2015-01-01 10:11:51,1420107111
86,1346,2015-01-01 10:13:10.0,90793,0,2015-01-01 10:13:10,1420107190
88,1349,2015-01-01 10:13:15.0,57105,0,2015-01-01 10:13:15,1420107195
91,1406,2015-01-01 10:20:29.0,133527,0,2015-01-01 10:20:29,1420107629
93,1419,2015-01-01 10:21:49.0,109400,0,2015-01-01 10:21:49,1420107709
95,1449,2015-01-01 10:25:48.0,85435,0,2015-01-01 10:25:48,1420107948
96,1452,2015-01-01 10:26:12.0,155645,0,2015-01-01 10:26:12,1420107972
97,1592,2015-01-01 10:48:07.0,93671,0,2015-01-01 10:48:07,1420109287
100,1651,2015-01-01 10:56:17.0,104193,0,2015-01-01 10:56:17,1420109777
101,1652,2015-01-01 10:56:35.0,28523,0,2015-01-01 10:56:35,1420109795
102,1674,2015-01-01 11:00:45.0,18721,0,2015-01-01 11:00:45,1420110045
103,1678,2015-01-01 11:01:21.0,33793,0,2015-01-01 11:01:21,1420110081
105,1715,2015-01-01 11:08:11.0,35124,0,2015-01-01 11:08:11,1420110491
106,1716,2015-01-01 11:08:13.0,126399,0,2015-01-01 11:08:13,1420110493
107,1747,2015-01-01 11:12:20.0,20483,0,2015-01-01 11:12:20,1420110740
109,1773,2015-01-01 11:17:58.0,6790,0,2015-01-01 11:17:58,1420111078
110,1788,2015-01-01 11:21:38.0,53562,0,2015-01-01 11:21:38,1420111298
111,1805,2015-01-01 11:24:36.0,72922,0,2015-01-01 11:24:36,1420111476
112,1820,2015-01-01 11:27:54.0,101912,0,2015-01-01 11:27:54,1420111674
113,1822,2015-01-01 11:27:58.0,145090,0,2015-01-01 11:27:58,1420111678
116,1851,2015-01-01 11:31:22.0,108194,0,2015-01-01 11:31:22,1420111882
117,1861,2015-01-01 11:33:23.0,132629,0,2015-01-01 11:33:23,1420112003
122,1957,2015-01-01 11:50:24.0,156796,0,2015-01-01 11:50:24,1420113024
123,1987,2015-01-01 11:53:55.0,159344,0,2015-01-01 11:53:55,1420113235
125,2054,2015-01-01 12:08:02.0,26148,0,2015-01-01 12:08:02,1420114082
126,2167,2015-01-01 12:33:31.0,142302,0,2015-01-01 12:33:31,1420115611
131,2213,2015-01-01 12:41:58.0,126546,0,2015-01-01 12:41:58,1420116118
133,2219,2015-01-01 12:43:05.0,171642,0,2015-01-01 12:43:05,1420116185
134,2248,2015-01-01 12:50:28.0,115201,0,2015-01-01 12:50:28,1420116628
135,2250,2015-01-01 12:50:40.0,144329,0,2015-01-01 12:50:40,1420116640
136,2303,2015-01-01 13:02:38.0,100659,0,2015-01-01 13:02:38,1420117358
137,2347,2015-01-01 13:11:42.0,165856,0,2015-01-01 13:11:42,1420117902
138,2364,2015-01-01 13:15:07.0,89808,0,2015-01-01 13:15:07,1420118107
139,2365,2015-01-01 13:15:16.0,163106,0,2015-01-01 13:15:16,1420118116
142,2432,2015-01-01 13:26:46.0,30507,0,2015-01-01 13:26:46,1420118806
143,2439,2015-01-01 13:28:52.0,107056,0,2015-01-01 13:28:52,1420118932
145,2476,2015-01-01 13:36:30.0,71306,0,2015-01-01 13:36:30,1420119390
146,2492,2015-01-01 13:39:40.0,125305,0,2015-01-01 13:39:40,1420119580
147,2513,2015-01-01 13:42:07.0,65869,0,2015-01-01 13:42:07,1420119727
148,2520,2015-01-01 13:43:25.0,119719,0,2015-01-01 13:43:25,1420119805
149,2522,2015-01-01 13:43:45.0,88770,0,2015-01-01 13:43:45,1420119825
151,2534,2015-01-01 13:48:24.0,81835,0,2015-01-01 13:48:24,1420120104
155,2588,2015-01-01 14:00:29.0,100093,0,2015-01-01 14:00:29,1420120829
156,2590,2015-01-01 14:00:48.0,136124,0,2015-01-01 14:00:48,1420120848
157,2591,2015-01-01 14:01:06.0,132793,0,2015-01-01 14:01:06,1420120866
159,2608,2015-01-01 14:03:15.0,164082,0,2015-01-01 14:03:15,1420120995
164,2691,2015-01-01 14:18:45.0,134003,0,2015-01-01 14:18:45,1420121925
166,2713,2015-01-01 14:25:01.0,73539,0,2015-01-01 14:25:01,1420122301
167,2715,2015-01-01 14:25:06.0,10492,0,2015-01-01 14:25:06,1420122306
169,2747,2015-01-01 14:30:33.0,126651,0,2015-01-01 14:30:33,1420122633
170,2751,2015-01-01 14:30:54.0,75014,0,2015-01-01 14:30:54,1420122654
172,2765,2015-01-01 14:33:44.0,74029,0,2015-01-01 14:33:44,1420122824
174,2825,2015-01-01 14:48:09.0,81514,0,2015-01-01 14:48:09,1420123689
175,2830,2015-01-01 14:49:22.0,113345,0,2015-01-01 14:49:22,1420123762
176,2837,2015-01-01 14:50:11.0,120967,0,2015-01-01 14:50:11,1420123811
177,2839,2015-01-01 14:50:54.0,159018,0,2015-01-01 14:50:54,1420123854
178,2844,2015-01-01 14:52:22.0,123172,0,2015-01-01 14:52:22,1420123942
180,2863,2015-01-01 14:56:33.0,22742,0,2015-01-01 14:56:33,1420124193
181,2880,2015-01-01 14:59:48.0,115201,0,2015-01-01 14:59:48,1420124388
182,2887,2015-01-01 15:01:33.0,75332,0,2015-01-01 15:01:33,1420124493
183,2902,2015-01-01 15:05:08.0,159532,0,2015-01-01 15:05:08,1420124708
184,2918,2015-01-01 15:08:33.0,159018,0,2015-01-01 15:08:33,1420124913
186,2933,2015-01-01 15:11:20.0,74015,0,2015-01-01 15:11:20,1420125080
187,2943,2015-01-01 15:15:09.0,117775,0,2015-01-01 15:15:09,1420125309
189,2966,2015-01-01 15:17:59.0,13978,0,2015-01-01 15:17:59,1420125479
190,2993,2015-01-01 15:26:46.0,149778,0,2015-01-01 15:26:46,1420126006
191,3003,2015-01-01 15:29:18.0,102101,0,2015-01-01 15:29:18,1420126158
193,3015,2015-01-01 15:31:34.0,158104,0,2015-01-01 15:31:34,1420126294
194,3044,2015-01-01 15:36:14.0,115201,0,2015-01-01 15:36:14,1420126574
195,3086,2015-01-01 15:43:40.0,165222,0,2015-01-01 15:43:40,1420127020
196,3122,2015-01-01 15:49:42.0,20409,0,2015-01-01 15:49:42,1420127382
197,3146,2015-01-01 15:52:21.0,115201,0,2015-01-01 15:52:21,1420127541
198,3149,2015-01-01 15:53:29.0,95217,0,2015-01-01 15:53:29,1420127609
199,3154,2015-01-01 15:54:04.0,21283,0,2015-01-01 15:54:04,1420127644
201,3223,2015-01-01 16:03:09.0,41616,0,2015-01-01 16:03:09,1420128189
203,3241,2015-01-01 16:05:20.0,156485,0,2015-01-01 16:05:20,1420128320
205,3315,2015-01-01 16:21:35.0,51487,0,2015-01-01 16:21:35,1420129295
206,3320,2015-01-01 16:22:58.0,11449,0,2015-01-01 16:22:58,1420129378
207,3330,2015-01-01 16:24:11.0,115201,0,2015-01-01 16:24:11,1420129451
209,3349,2015-01-01 16:29:13.0,112898,0,2015-01-01 16:29:13,1420129753
212,3385,2015-01-01 16:39:11.0,3348,0,2015-01-01 16:39:11,1420130351
213,3394,2015-01-01 16:40:56.0,84797,0,2015-01-01 16:40:56,1420130456
214,3405,2015-01-01 16:42:40.0,129564,0,2015-01-01 16:42:40,1420130560
215,3419,2015-01-01 16:46:59.0,115201,0,2015-01-01 16:46:59,1420130819
216,3422,2015-01-01 16:47:25.0,115201,0,2015-01-01 16:47:25,1420130845
218,3481,2015-01-01 17:02:21.0,4167,0,2015-01-01 17:02:21,1420131741
219,3484,2015-01-01 17:03:26.0,146577,0,2015-01-01 17:03:26,1420131806
221,3528,2015-01-01 17:12:56.0,41778,0,2015-01-01 17:12:56,1420132376
224,3537,2015-01-01 17:14:52.0,30970,0,2015-01-01 17:14:52,1420132492
225,3540,2015-01-01 17:15:43.0,80567,0,2015-01-01 17:15:43,1420132543
229,3576,2015-01-01 17:24:10.0,120026,0,2015-01-01 17:24:10,1420133050
230,3594,2015-01-01 17:28:03.0,24367,0,2015-01-01 17:28:03,1420133283
231,3645,2015-01-01 17:36:50.0,41616,0,2015-01-01 17:36:50,1420133810
232,3655,2015-01-01 17:38:54.0,140983,0,2015-01-01 17:38:54,1420133934
233,3669,2015-01-01 17:41:08.0,1410,0,2015-01-01 17:41:08,1420134068
234,3671,2015-01-01 17:41:38.0,30525,0,2015-01-01 17:41:38,1420134098
237,3708,2015-01-01 17:49:27.0,135059,0,2015-01-01 17:49:27,1420134567
238,3736,2015-01-01 17:56:04.0,153528,0,2015-01-01 17:56:04,1420134964
239,3740,2015-01-01 17:56:14.0,57996,0,2015-01-01 17:56:14,1420134974
240,3741,2015-01-01 17:56:15.0,155079,0,2015-01-01 17:56:15,1420134975
242,3795,2015-01-01 18:13:08.0,134250,0,2015-01-01 18:13:08,1420135988
243,3817,2015-01-01 18:17:45.0,115769,0,2015-01-01 18:17:45,1420136265
244,3830,2015-01-01 18:21:26.0,54718,0,2015-01-01 18:21:26,1420136486
245,3854,2015-01-01 18:28:56.0,130202,0,2015-01-01 18:28:56,1420136936
248,3914,2015-01-01 18:44:33.0,56501,0,2015-01-01 18:44:33,1420137873
249,3946,2015-01-01 18:51:58.0,144597,0,2015-01-01 18:51:58,1420138318
250,3957,2015-01-01 18:55:59.0,159628,0,2015-01-01 18:55:59,1420138559
252,4002,2015-01-01 19:06:19.0,119488,0,2015-01-01 19:06:19,1420139179
253,4012,2015-01-01 19:09:24.0,57733,0,2015-01-01 19:09:24,1420139364
254,4014,2015-01-01 19:09:38.0,116559,0,2015-01-01 19:09:38,1420139378
255,4021,2015-01-01 19:11:49.0,116559,0,2015-01-01 19:11:49,1420139509
256,4022,2015-01-01 19:11:56.0,113518,0,2015-01-01 19:11:56,1420139516
257,4067,2015-01-01 19:21:07.0,95345,0,2015-01-01 19:21:07,1420140067
258,4089,2015-01-01 19:23:55.0,140983,0,2015-01-01 19:23:55,1420140235
259,4092,2015-01-01 19:24:07.0,126399,0,2015-01-01 19:24:07,1420140247
260,4096,2015-01-01 19:24:33.0,149778,0,2015-01-01 19:24:33,1420140273
261,4097,2015-01-01 19:24:37.0,145584,0,2015-01-01 19:24:37,1420140277
262,4100,2015-01-01 19:25:09.0,115201,0,2015-01-01 19:25:09,1420140309
263,4110,2015-01-01 19:28:09.0,165195,0,2015-01-01 19:28:09,1420140489
265,4124,2015-01-01 19:31:02.0,68368,0,2015-01-01 19:31:02,1420140662
267,4133,2015-01-01 19:32:06.0,94163,0,2015-01-01 19:32:06,1420140726
268,4134,2015-01-01 19:32:07.0,174055,0,2015-01-01 19:32:07,1420140727
269,4145,2015-01-01 19:33:52.0,143110,0,2015-01-01 19:33:52,1420140832
271,4151,2015-01-01 19:36:11.0,143110,0,2015-01-01 19:36:11,1420140971
272,4165,2015-01-01 19:40:25.0,140733,0,2015-01-01 19:40:25,1420141225
277,4226,2015-01-01 19:51:37.0,36914,0,2015-01-01 19:51:37,1420141897
278,4235,2015-01-01 19:53:15.0,130105,0,2015-01-01 19:53:15,1420141995
279,4238,2015-01-01 19:53:40.0,93783,0,2015-01-01 19:53:40,1420142020
280,4241,2015-01-01 19:54:22.0,98289,0,2015-01-01 19:54:22,1420142062
281,4243,2015-01-01 19:54:44.0,21364,0,2015-01-01 19:54:44,1420142084
289,4459,2015-01-01 20:33:28.0,88770,0,2015-01-01 20:33:28,1420144408
290,4488,2015-01-01 20:37:06.0,135398,0,2015-01-01 20:37:06,1420144626
291,4510,2015-01-01 20:41:01.0,63850,0,2015-01-01 20:41:01,1420144861
293,4526,2015-01-01 20:43:26.0,144195,0,2015-01-01 20:43:26,1420145006
296,4569,2015-01-01 20:50:36.0,118268,0,2015-01-01 20:50:36,1420145436
300,4629,2015-01-01 21:00:12.0,64864,0,2015-01-01 21:00:12,1420146012
301,4641,2015-01-01 21:01:40.0,60976,0,2015-01-01 21:01:40,1420146100
302,4647,2015-01-01 21:02:40.0,115201,0,2015-01-01 21:02:40,1420146160
304,4652,2015-01-01 21:04:03.0,115201,0,2015-01-01 21:04:03,1420146243
306,4666,2015-01-01 21:05:53.0,162667,0,2015-01-01 21:05:53,1420146353
307,4689,2015-01-01 21:08:57.0,134752,0,2015-01-01 21:08:57,1420146537
308,4691,2015-01-01 21:09:34.0,134752,0,2015-01-01 21:09:34,1420146574
310,4729,2015-01-01 21:14:43.0,65043,0,2015-01-01 21:14:43,1420146883
312,4736,2015-01-01 21:15:38.0,101777,0,2015-01-01 21:15:38,1420146938
313,4754,2015-01-01 21:18:44.0,11717,0,2015-01-01 21:18:44,1420147124
314,4782,2015-01-01 21:21:49.0,45184,0,2015-01-01 21:21:49,1420147309
315,4802,2015-01-01 21:26:05.0,92250,0,2015-01-01 21:26:05,1420147565
316,4810,2015-01-01 21:27:06.0,81490,0,2015-01-01 21:27:06,1420147626
317,4811,2015-01-01 21:27:24.0,118268,0,2015-01-01 21:27:24,1420147644
320,4819,2015-01-01 21:28:45.0,167454,0,2015-01-01 21:28:45,1420147725
321,4831,2015-01-01 21:31:06.0,100853,0,2015-01-01 21:31:06,1420147866
324,4884,2015-01-01 21:39:04.0,54364,0,2015-01-01 21:39:04,1420148344
326,4918,2015-01-01 21:46:38.0,149778,0,2015-01-01 21:46:38,1420148798
328,4937,2015-01-01 21:50:30.0,60976,0,2015-01-01 21:50:30,1420149030
331,4996,2015-01-01 21:59:22.0,5415,0,2015-01-01 21:59:22,1420149562
334,5093,2015-01-01 22:16:56.0,48076,0,2015-01-01 22:16:56,1420150616
335,5103,2015-01-01 22:18:58.0,100853,0,2015-01-01 22:18:58,1420150738
336,5123,2015-01-01 22:21:43.0,117992,0,2015-01-01 22:21:43,1420150903
337,5143,2015-01-01 22:24:40.0,95476,0,2015-01-01 22:24:40,1420151080
339,5157,2015-01-01 22:28:09.0,58635,0,2015-01-01 22:28:09,1420151289
340,5163,2015-01-01 22:29:50.0,156796,0,2015-01-01 22:29:50,1420151390
341,5164,2015-01-01 22:30:15.0,38654,0,2015-01-01 22:30:15,1420151415
343,5188,2015-01-01 22:36:14.0,38654,0,2015-01-01 22:36:14,1420151774
348,5279,2015-01-01 22:54:11.0,11275,0,2015-01-01 22:54:11,1420152851
350,5332,2015-01-01 23:03:56.0,90005,0,2015-01-01 23:03:56,1420153436
351,5337,2015-01-01 23:05:32.0,30970,0,2015-01-01 23:05:32,1420153532
354,5380,2015-01-01 23:17:11.0,122187,0,2015-01-01 23:17:11,1420154231
355,5384,2015-01-01 23:18:03.0,24407,0,2015-01-01 23:18:03,1420154283
356,5387,2015-01-01 23:19:16.0,137243,0,2015-01-01 23:19:16,1420154356
357,5405,2015-01-01 23:21:51.0,115610,0,2015-01-01 23:21:51,1420154511
359,5427,2015-01-01 23:26:11.0,126399,0,2015-01-01 23:26:11,1420154771
360,5460,2015-01-01 23:33:36.0,107833,0,2015-01-01 23:33:36,1420155216
361,5465,2015-01-01 23:34:17.0,30970,0,2015-01-01 23:34:17,1420155257
362,5475,2015-01-01 23:35:31.0,62643,0,2015-01-01 23:35:31,1420155331
364,5508,2015-01-01 23:46:21.0,122422,0,2015-01-01 23:46:21,1420155981
365,5516,2015-01-01 23:48:02.0,166002,0,2015-01-01 23:48:02,1420156082
366,5525,2015-01-01 23:50:48.0,32252,0,2015-01-01 23:50:48,1420156248
367,5528,2015-01-01 23:51:30.0,68343,0,2015-01-01 23:51:30,1420156290
368,5529,2015-01-01 23:51:43.0,124708,0,2015-01-01 23:51:43,1420156303
369,5536,2015-01-01 23:53:46.0,137277,0,2015-01-01 23:53:46,1420156426
370,5552,2015-01-01 23:56:52.0,107126,0,2015-01-01 23:56:52,1420156612
371,5562,2015-01-01 23:58:46.0,156444,0,2015-01-01 23:58:46,1420156726
372,5571,2015-01-02 00:01:07.0,132038,0,2015-01-02 00:01:07,1420156867
373,5585,2015-01-02 00:05:23.0,68126,0,2015-01-02 00:05:23,1420157123
374,5592,2015-01-02 00:06:19.0,148703,0,2015-01-02 00:06:19,1420157179
375,5595,2015-01-02 00:07:13.0,142932,0,2015-01-02 00:07:13,1420157233
377,5605,2015-01-02 00:09:04.0,121432,0,2015-01-02 00:09:04,1420157344
378,5610,2015-01-02 00:09:49.0,121432,0,2015-01-02 00:09:49,1420157389
380,5618,2015-01-02 00:12:17.0,121432,0,2015-01-02 00:12:17,1420157537
381,5619,2015-01-02 00:12:21.0,15937,0,2015-01-02 00:12:21,1420157541
382,5639,2015-01-02 00:15:13.0,121432,0,2015-01-02 00:15:13,1420157713
384,5644,2015-01-02 00:16:17.0,121432,0,2015-01-02 00:16:17,1420157777
386,5652,2015-01-02 00:17:06.0,121432,0,2015-01-02 00:17:06,1420157826
388,5673,2015-01-02 00:21:06.0,4394,0,2015-01-02 00:21:06,1420158066
389,5703,2015-01-02 00:31:37.0,38756,0,2015-01-02 00:31:37,1420158697
390,5706,2015-01-02 00:32:52.0,150718,0,2015-01-02 00:32:52,1420158772
391,5714,2015-01-02 00:36:14.0,147174,0,2015-01-02 00:36:14,1420158974
393,5744,2015-01-02 00:49:12.0,38756,0,2015-01-02 00:49:12,1420159752
394,5762,2015-01-02 00:57:04.0,112171,0,2015-01-02 00:57:04,1420160224
395,5765,2015-01-02 01:00:38.0,38756,0,2015-01-02 01:00:38,1420160438
397,5817,2015-01-02 01:45:22.0,120026,0,2015-01-02 01:45:22,1420163122
398,5818,2015-01-02 01:45:53.0,120026,0,2015-01-02 01:45:53,1420163153
408,5891,2015-01-02 03:29:51.0,94111,0,2015-01-02 03:29:51,1420169391
412,5921,2015-01-02 04:30:14.0,23999,0,2015-01-02 04:30:14,1420173014
413,5930,2015-01-02 05:08:44.0,44872,0,2015-01-02 05:08:44,1420175324
414,5995,2015-01-02 06:51:27.0,73966,0,2015-01-02 06:51:27,1420181487
415,6001,2015-01-02 06:56:57.0,73966,0,2015-01-02 06:56:57,1420181817
417,6113,2015-01-02 08:03:39.0,121836,0,2015-01-02 08:03:39,1420185819
420,6146,2015-01-02 08:18:57.0,91195,0,2015-01-02 08:18:57,1420186737
426,6200,2015-01-02 08:36:10.0,15829,0,2015-01-02 08:36:10,1420187770
427,6220,2015-01-02 08:40:06.0,102062,0,2015-01-02 08:40:06,1420188006
428,6225,2015-01-02 08:42:10.0,13471,0,2015-01-02 08:42:10,1420188130
430,6242,2015-01-02 08:47:15.0,39332,0,2015-01-02 08:47:15,1420188435
431,6245,2015-01-02 08:47:35.0,114120,0,2015-01-02 08:47:35,1420188455
432,6246,2015-01-02 08:48:21.0,141549,0,2015-01-02 08:48:21,1420188501
433,6257,2015-01-02 08:50:36.0,108620,0,2015-01-02 08:50:36,1420188636
436,6318,2015-01-02 09:05:25.0,128854,0,2015-01-02 09:05:25,1420189525
438,6325,2015-01-02 09:08:31.0,94750,0,2015-01-02 09:08:31,1420189711
440,6336,2015-01-02 09:12:19.0,95069,0,2015-01-02 09:12:19,1420189939
446,6361,2015-01-02 09:16:33.0,24091,0,2015-01-02 09:16:33,1420190193
448,6381,2015-01-02 09:20:12.0,117302,0,2015-01-02 09:20:12,1420190412
449,6408,2015-01-02 09:24:01.0,171509,0,2015-01-02 09:24:01,1420190641
451,6414,2015-01-02 09:24:32.0,94750,0,2015-01-02 09:24:32,1420190672
452,6435,2015-01-02 09:28:23.0,125337,0,2015-01-02 09:28:23,1420190903
453,6442,2015-01-02 09:29:26.0,160365,0,2015-01-02 09:29:26,1420190966
456,6456,2015-01-02 09:32:37.0,121139,0,2015-01-02 09:32:37,1420191157
457,6517,2015-01-02 09:46:11.0,35424,0,2015-01-02 09:46:11,1420191971
458,6519,2015-01-02 09:47:34.0,150718,0,2015-01-02 09:47:34,1420192054
459,6537,2015-01-02 09:50:33.0,150718,0,2015-01-02 09:50:33,1420192233
461,6582,2015-01-02 10:00:24.0,35424,0,2015-01-02 10:00:24,1420192824
462,6605,2015-01-02 10:02:31.0,149624,0,2015-01-02 10:02:31,1420192951
463,6619,2015-01-02 10:03:52.0,66884,0,2015-01-02 10:03:52,1420193032
464,6639,2015-01-02 10:05:58.0,4394,0,2015-01-02 10:05:58,1420193158
466,6648,2015-01-02 10:07:17.0,42665,0,2015-01-02 10:07:17,1420193237
470,6694,2015-01-02 10:12:15.0,78142,0,2015-01-02 10:12:15,1420193535
476,6848,2015-01-02 10:34:11.0,76228,0,2015-01-02 10:34:11,1420194851
478,6868,2015-01-02 10:36:52.0,115201,0,2015-01-02 10:36:52,1420195012
479,6873,2015-01-02 10:37:50.0,9903,0,2015-01-02 10:37:50,1420195070
486,6962,2015-01-02 10:50:52.0,139148,0,2015-01-02 10:50:52,1420195852
488,6978,2015-01-02 10:52:09.0,130570,0,2015-01-02 10:52:09,1420195929
489,6989,2015-01-02 10:53:50.0,155293,0,2015-01-02 10:53:50,1420196030
491,7013,2015-01-02 10:56:45.0,115201,0,2015-01-02 10:56:45,1420196205
498,7128,2015-01-02 11:11:04.0,38818,0,2015-01-02 11:11:04,1420197064
499,7142,2015-01-02 11:12:44.0,29058,0,2015-01-02 11:12:44,1420197164
500,7147,2015-01-02 11:13:14.0,34693,0,2015-01-02 11:13:14,1420197194
508,7223,2015-01-02 11:25:17.0,171966,0,2015-01-02 11:25:17,1420197917
515,7317,2015-01-02 11:37:55.0,41535,0,2015-01-02 11:37:55,1420198675
518,7346,2015-01-02 11:41:50.0,160878,0,2015-01-02 11:41:50,1420198910
519,7395,2015-01-02 11:48:17.0,119732,0,2015-01-02 11:48:17,1420199297
521,7411,2015-01-02 11:50:57.0,62499,0,2015-01-02 11:50:57,1420199457
524,7421,2015-01-02 11:52:18.0,84025,0,2015-01-02 11:52:18,1420199538
525,7422,2015-01-02 11:52:32.0,119732,0,2015-01-02 11:52:32,1420199552
528,7434,2015-01-02 11:54:42.0,119732,0,2015-01-02 11:54:42,1420199682
529,7472,2015-01-02 11:59:35.0,76905,0,2015-01-02 11:59:35,1420199975
531,7491,2015-01-02 12:03:20.0,42804,0,2015-01-02 12:03:20,1420200200
535,7562,2015-01-02 12:16:29.0,159908,0,2015-01-02 12:16:29,1420200989
536,7582,2015-01-02 12:19:54.0,82426,0,2015-01-02 12:19:54,1420201194
538,7608,2015-01-02 12:24:05.0,149112,0,2015-01-02 12:24:05,1420201445
539,7614,2015-01-02 12:26:06.0,43642,0,2015-01-02 12:26:06,1420201566
543,7681,2015-01-02 12:38:21.0,69463,0,2015-01-02 12:38:21,1420202301
544,7685,2015-01-02 12:39:15.0,144807,0,2015-01-02 12:39:15,1420202355
545,7691,2015-01-02 12:40:04.0,19789,0,2015-01-02 12:40:04,1420202404
547,7724,2015-01-02 12:49:17.0,154415,0,2015-01-02 12:49:17,1420202957
549,7740,2015-01-02 12:51:52.0,11518,0,2015-01-02 12:51:52,1420203112
550,7749,2015-01-02 12:52:37.0,7591,0,2015-01-02 12:52:37,1420203157
551,7758,2015-01-02 12:54:15.0,163121,0,2015-01-02 12:54:15,1420203255
553,7787,2015-01-02 13:00:35.0,102347,0,2015-01-02 13:00:35,1420203635
554,7800,2015-01-02 13:04:56.0,65682,0,2015-01-02 13:04:56,1420203896
557,7838,2015-01-02 13:12:33.0,36912,0,2015-01-02 13:12:33,1420204353
558,7892,2015-01-02 13:22:02.0,41301,0,2015-01-02 13:22:02,1420204922
560,7907,2015-01-02 13:25:08.0,24407,0,2015-01-02 13:25:08,1420205108
